Epoch,Train Loss (MSE),Train Loss (MAE),Train Loss (SSIM),Train Loss (PSNR),Validation Loss (MSE),Validation Loss (MAE),Validation Loss (SSIM),Validation Loss (PSNR)
1,0.00722608944614298,0.058438785077400725,0.11061793148452609,-23.809632094995795,0.0031973059320685483,0.03563953799793047,0.0832004442102671,-27.36732008277304
2,0.00423024929374367,0.04387645345351851,0.0857465628514243,-26.056065485339648,0.0027617287996309944,0.03397864743748764,0.07653282988918851,-27.87935438958828
3,0.0033970725239144592,0.03903211983298576,0.07746537299166589,-27.044298146413222,0.002572162786212933,0.03328958980014529,0.0709336460338531,-28.140575598589052
4,0.002936408719426349,0.03624468564717028,0.07255373577645197,-27.663739135247152,0.0023326110820033343,0.031658727910436245,0.06692735378366862,-28.57417677502106
5,0.002653368529766537,0.03442353609077949,0.06933757731022726,-28.096322170494687,0.002186654718321449,0.030652566476226686,0.06516808687314891,-28.859360517293045
6,0.002443922517412787,0.03305344853241447,0.06671994653496903,-28.435590768874405,0.002043575477909022,0.029392771816024912,0.06347203792779144,-29.23384124266753
7,0.0022859511900332127,0.03196564734727551,0.06462471132840039,-28.71774092874974,0.0020341166535684228,0.02947171085229411,0.062244613332827436,-29.241167536792513
8,0.002165539720088204,0.031148682088939516,0.062960293840296,-28.934519017925698,0.0019114975439849834,0.028347463682098936,0.062408972477944094,-29.577810899690412
9,0.002057527047826989,0.030378995438470967,0.06149248075849227,-29.14032699414402,0.001887426858394607,0.028349263808412604,0.06092399912425331,-29.574273588976588
10,0.0019671340938244926,0.029727455381620898,0.060273077177247406,-29.31602649626321,0.0018054205180163875,0.02746884555893398,0.0609915489408058,-29.868697561138433
11,0.0018932314290202475,0.02917893409765566,0.059323732030040696,-29.46743931390727,0.0018119183621180235,0.027414257871697836,0.06121425281899806,-29.898733393573053
12,0.0018188524970041097,0.02860984070319987,0.05824794363689527,-29.622294803482106,0.001794583847226065,0.027378190614240846,0.059205366413093166,-29.886620282398994
13,0.0017797689284860677,0.028267033199699455,0.057692800678369655,-29.71791764824055,0.0017698155239459397,0.026752447823165704,0.06185812355907422,-30.14749140350568
14,0.0017208495349729904,0.027789864500714394,0.05683070819666498,-29.85203898709629,0.0018270214491653163,0.027981600986133223,0.06032539809888698,-29.703658635055866
15,0.0016790230583928671,0.02746601943769609,0.05618423912491377,-29.941041951819102,0.0017854746991890936,0.027820013799390652,0.06215523488127504,-29.740634191207786
16,0.0016282372674110042,0.027032995307178214,0.05540532532149079,-30.067955540206725,0.0016957928308117623,0.02688020591596056,0.06297928045474958,-30.0822141691425
17,0.0016005699107786001,0.02682781263113412,0.054997777730844015,-30.12493338943698,0.0018567977877978741,0.028428939312072597,0.06137953623901846,-29.613474912015413
18,0.0015548522165800508,0.026427046656547645,0.05432962049834731,-30.24110436122316,0.001754276948706119,0.02746784891583906,0.06173471592421933,-29.902231299612026
19,0.0015260490710242024,0.026185145364483187,0.053867616953740594,-30.31221248996947,0.0017244719983681889,0.027163826708177838,0.06085696375843119,-30.005106196047905
20,0.0015007996665833837,0.02596043915169937,0.05352746261895158,-30.378332052574034,0.001648258848005225,0.026517784691261793,0.061287169860951306,-30.223395956066877
21,0.0014667833292810603,0.02568413727279984,0.0529109585246187,-30.458256368522687,0.0017482768793223198,0.02750635476083512,0.061363283796597404,-29.975014290225282
22,0.0014421246709536168,0.02547583838563205,0.05255845298943889,-30.524125965496967,0.001839655344999455,0.02858704533850359,0.06130204388422577,-29.571028222384747
23,0.0014155535343210513,0.025220066002055175,0.052141496009369064,-30.60290227846335,0.001719406225137852,0.027189045046231552,0.06027421322754778,-30.015308391772344
24,0.0013945497237934275,0.025045607328280855,0.05181096840970779,-30.65626445237787,0.001684971051117506,0.027125014989716853,0.06281418796194936,-30.073361307369588
25,0.0013728324609503684,0.02489997821320722,0.0515334348317191,-30.700107570302915,0.0016834073337716954,0.027141857318778356,0.0635032972757129,-30.08390145150013
26,0.0013436462879814401,0.02459987933151302,0.05096419553720314,-30.795728029731574,0.001811964552866996,0.02852510884924066,0.06093739961569246,-29.6193952389903
27,0.0013233554736833467,0.02442937894920324,0.05068410161797327,-30.85132608299297,0.0017050828511587669,0.027360817049522354,0.05997921039691098,-29.975283664748286
28,0.0012984410326761847,0.024215249254011764,0.05035117619560225,-30.916717090211492,0.0017540243300470182,0.028129801077778765,0.06072139428060126,-29.707733390531942
29,0.001282323961581432,0.024058272776416336,0.050053787439444074,-30.966419289650286,0.0017740851775693313,0.028445356270819056,0.05887674019423001,-29.607534471787172
30,0.0012595530247745245,0.023876475515057338,0.04971034927872561,-31.024786963093632,0.0016411282802959177,0.026694902460136713,0.059009042880028756,-30.165906644938453
