Epoch,Train Loss (MSE),Train Loss (MAE),Train Loss (SSIM),Train Loss (PSNR),Validation Loss (MSE),Validation Loss (MAE),Validation Loss (SSIM),Validation Loss (PSNR)
1,0.036746965774979726,0.14923558068963197,0.28532519134191364,-16.02689114595071,0.020377961799311332,0.1067842823954729,0.20514397743420723,-18.261958440144856
2,0.02407006905652965,0.11505261634309323,0.21246760892562377,-18.40761618125133,0.012521774842379948,0.0763644698338631,0.16125017251723853,-21.033023932041267
3,0.020104374709682397,0.10303141054912256,0.19575228064488143,-19.45671124336047,0.00913700412433499,0.06436228150358567,0.14570415172821435,-22.52528283534906
4,0.017949251488645155,0.09655421888694549,0.18603474207413503,-20.04346276552249,0.007510605733841658,0.05830014754946415,0.1419236843402569,-23.311669814280975
5,0.01674785114860592,0.09293141216039658,0.17904358873000512,-20.393940748312534,0.006582359466940546,0.057163225630154975,0.14175559618534186,-23.57211572696001
6,0.015956478718763743,0.0902967255275983,0.1733147402604421,-20.631757283822083,0.006277136000183721,0.05589538994125831,0.14182379918220717,-23.78321373768342
7,0.015390065368055964,0.0884358382377869,0.16912819750798055,-20.795676084665153,0.00609778970754586,0.05471250204703747,0.14559926589330038,-23.903736114501953
8,0.014884654326567378,0.08669080074207905,0.16572582912750733,-20.946770178966034,0.006256675777527003,0.05612191949517299,0.14437033427067292,-23.690387774736454
9,0.014433338543406138,0.08488934774859211,0.1628356117468614,-21.10379366385631,0.006091819294035817,0.05697288058507137,0.14225924779207277,-23.624598918816982
10,0.01375458657126635,0.08245574832201386,0.15856867035230002,-21.343761071180687,0.00624794690296627,0.05683146961606466,0.13820304167576325,-23.633174896240234
11,0.013370823865839973,0.08099500178240049,0.15649184508201402,-21.475718742761856,0.006081515529121344,0.05592419264408258,0.12810503519498384,-23.786117064647186
12,0.012991299564675547,0.07956539360710825,0.15428211788336435,-21.610214056112827,0.005439489076916988,0.05296590909934961,0.12538939867264184,-24.20927067292042
13,0.012500151331411101,0.0778348242195371,0.15108439517326844,-21.781334846447674,0.005218354623931914,0.05111315020192892,0.12457077014140594,-24.505150623810596
14,0.012176797278255273,0.07656413782387972,0.14907096632016012,-21.899819264045128,0.005844589543696015,0.05297865508458553,0.13414545395435432,-24.170740323188976
15,0.011811021300486457,0.07512060016727982,0.14636725607590798,-22.044009214792496,0.004755797148204575,0.04938497719092247,0.12589805401288545,-24.75583991026267
16,0.011393505113515764,0.07374856813261524,0.14421814603683275,-22.190989799988575,0.004642551063368909,0.048662067796939455,0.12585328022638956,-24.88991243411333
17,0.011024402255992381,0.07227813755759062,0.14179024673425233,-22.34742835851816,0.004556845064657047,0.04812268568919255,0.12736504353009737,-24.99740473429362
18,0.010844067666673651,0.07156325941188978,0.14038231472174326,-22.411354052714813,0.004577444146912641,0.04752079096551125,0.12323764195808998,-25.042696634928387
19,0.010673434743717408,0.07073573103079046,0.139000076514024,-22.504394091092625,0.004211068857843295,0.04576060013511242,0.12128875652949016,-25.37281393393492
20,0.010498110983275976,0.07027064116958243,0.1378910419268486,-22.55613987873762,0.004102190807222938,0.04577071253114786,0.11951921383539836,-25.333209893642326
21,0.010071491295746408,0.06839531432025325,0.13476807528581375,-22.773966434674385,0.003914560134618137,0.0435793704042832,0.11413432543094341,-25.69721089876615
22,0.010023123314544463,0.06841288948765932,0.13413686515429082,-22.77315472945189,0.003760285553140327,0.04293271985191565,0.11393425861994426,-25.831190842848557
23,0.009936468937667087,0.06777477639321333,0.13286381539626,-22.848386678940212,0.003684313124559151,0.04191657342016697,0.11295707103533623,-25.969210942586262
24,0.009870741984251743,0.06759833043011335,0.13297688158658835,-22.850953572835678,0.0037810601449261108,0.042146003303619534,0.10993526379267375,-25.987185111412636
25,0.009661327610210253,0.06651333727849981,0.1313783083206568,-22.993034118261093,0.003712815375855336,0.04063457379547449,0.10294679189339662,-26.2698907607641
26,0.009588329398329968,0.0661104612936003,0.130961761260644,-23.035986454058918,0.003872339509260387,0.042557621804567486,0.10994887504822169,-25.97388155032427
27,0.00959012558301672,0.06620387928799176,0.1298946963670926,-23.04416094070826,0.0036815949626123677,0.040478020858688235,0.1046790511180193,-26.32152523138584
